PRP$,"{'I-art': 0.005263157894736842, 'B-nat': 0.005263157894736842, 'B-gpe': 0.005263157894736842, 'B-art': 0.005263157894736842, 'I-tim': 0.010526315789473684, 'B-org': 0.005263157894736842, 'O': 0.7894736842105263, 'B-geo': 0.005263157894736842, 'I-org': 0.005263157894736842, 'I-geo': 0.005263157894736842, 'I-per': 0.005263157894736842, 'I-eve': 0.005263157894736842, 'B-eve': 0.005263157894736842, 'I-gpe': 0.005263157894736842, 'B-tim': 0.005263157894736842, 'I-nat': 0.005263157894736842, 'B-per': 0.005263157894736842}"
VBG,"{'I-art': 0.0024875621890547263, 'B-nat': 0.0024875621890547263, 'B-gpe': 0.0024875621890547263, 'B-art': 0.0024875621890547263, 'I-tim': 0.0024875621890547263, 'B-org': 0.0024875621890547263, 'O': 0.9029850746268657, 'B-geo': 0.0024875621890547263, 'I-org': 0.0024875621890547263, 'I-geo': 0.0024875621890547263, 'I-per': 0.0024875621890547263, 'I-eve': 0.0024875621890547263, 'B-eve': 0.0024875621890547263, 'I-gpe': 0.0024875621890547263, 'B-tim': 0.0024875621890547263, 'I-nat': 0.0024875621890547263, 'B-per': 0.0024875621890547263}"
VBD,"{'I-art': 0.0012903225806451613, 'B-nat': 0.0012903225806451613, 'B-gpe': 0.0012903225806451613, 'B-art': 0.0012903225806451613, 'I-tim': 0.0012903225806451613, 'B-org': 0.0012903225806451613, 'O': 0.9496774193548387, 'B-geo': 0.0012903225806451613, 'I-org': 0.0012903225806451613, 'I-geo': 0.0012903225806451613, 'I-per': 0.0012903225806451613, 'I-eve': 0.0012903225806451613, 'B-eve': 0.0012903225806451613, 'I-gpe': 0.0012903225806451613, 'B-tim': 0.0012903225806451613, 'I-nat': 0.0012903225806451613, 'B-per': 0.0012903225806451613}"
VBN,"{'I-art': 0.001483679525222552, 'B-nat': 0.001483679525222552, 'B-gpe': 0.001483679525222552, 'B-art': 0.001483679525222552, 'I-tim': 0.001483679525222552, 'B-org': 0.001483679525222552, 'O': 0.9421364985163204, 'B-geo': 0.001483679525222552, 'I-org': 0.001483679525222552, 'I-geo': 0.001483679525222552, 'I-per': 0.001483679525222552, 'I-eve': 0.001483679525222552, 'B-eve': 0.001483679525222552, 'I-gpe': 0.001483679525222552, 'B-tim': 0.001483679525222552, 'I-nat': 0.001483679525222552, 'B-per': 0.001483679525222552}"
",","{'I-art': 0.001607717041800643, 'B-nat': 0.001607717041800643, 'B-gpe': 0.001607717041800643, 'B-art': 0.001607717041800643, 'I-tim': 0.003215434083601286, 'B-org': 0.001607717041800643, 'O': 0.9356913183279743, 'B-geo': 0.001607717041800643, 'I-org': 0.001607717041800643, 'I-geo': 0.001607717041800643, 'I-per': 0.001607717041800643, 'I-eve': 0.001607717041800643, 'B-eve': 0.001607717041800643, 'I-gpe': 0.001607717041800643, 'B-tim': 0.001607717041800643, 'I-nat': 0.001607717041800643, 'B-per': 0.001607717041800643}"
VBP,"{'I-art': 0.0024937655860349127, 'B-nat': 0.0024937655860349127, 'B-gpe': 0.0024937655860349127, 'B-art': 0.0024937655860349127, 'I-tim': 0.0024937655860349127, 'B-org': 0.0024937655860349127, 'O': 0.9027431421446384, 'B-geo': 0.0024937655860349127, 'I-org': 0.0024937655860349127, 'I-geo': 0.0024937655860349127, 'I-per': 0.0024937655860349127, 'I-eve': 0.0024937655860349127, 'B-eve': 0.0024937655860349127, 'I-gpe': 0.0024937655860349127, 'B-tim': 0.0024937655860349127, 'I-nat': 0.0024937655860349127, 'B-per': 0.0024937655860349127}"
WDT,"{'I-art': 0.010526315789473684, 'B-nat': 0.010526315789473684, 'B-gpe': 0.010526315789473684, 'B-art': 0.010526315789473684, 'I-tim': 0.010526315789473684, 'B-org': 0.010526315789473684, 'O': 0.5894736842105263, 'B-geo': 0.010526315789473684, 'I-org': 0.010526315789473684, 'I-geo': 0.010526315789473684, 'I-per': 0.010526315789473684, 'I-eve': 0.010526315789473684, 'B-eve': 0.010526315789473684, 'I-gpe': 0.010526315789473684, 'B-tim': 0.010526315789473684, 'I-nat': 0.010526315789473684, 'B-per': 0.010526315789473684}"
JJ,"{'I-art': 0.0006675567423230974, 'B-nat': 0.0006675567423230974, 'B-gpe': 0.18157543391188252, 'B-art': 0.0013351134846461949, 'I-tim': 0.0006675567423230974, 'B-org': 0.0053404539385847796, 'O': 0.774365821094793, 'B-geo': 0.0053404539385847796, 'I-org': 0.0006675567423230974, 'I-geo': 0.0006675567423230974, 'I-per': 0.0006675567423230974, 'I-eve': 0.0013351134846461949, 'B-eve': 0.0006675567423230974, 'I-gpe': 0.0026702269692923898, 'B-tim': 0.006675567423230975, 'I-nat': 0.0006675567423230974, 'B-per': 0.0006675567423230974}"
WP,"{'I-art': 0.0125, 'B-nat': 0.0125, 'B-gpe': 0.0125, 'B-art': 0.0125, 'I-tim': 0.0125, 'B-org': 0.0125, 'O': 0.5125, 'B-geo': 0.0125, 'I-org': 0.0125, 'I-geo': 0.0125, 'I-per': 0.0125, 'I-eve': 0.0125, 'B-eve': 0.0125, 'I-gpe': 0.0125, 'B-tim': 0.0125, 'I-nat': 0.0125, 'B-per': 0.0125}"
VBZ,"{'I-art': 0.0019646365422396855, 'B-nat': 0.0019646365422396855, 'B-gpe': 0.0019646365422396855, 'B-art': 0.0019646365422396855, 'I-tim': 0.0019646365422396855, 'B-org': 0.0019646365422396855, 'O': 0.9233791748526523, 'B-geo': 0.0019646365422396855, 'I-org': 0.0019646365422396855, 'I-geo': 0.0019646365422396855, 'I-per': 0.0019646365422396855, 'I-eve': 0.0019646365422396855, 'B-eve': 0.0019646365422396855, 'I-gpe': 0.0019646365422396855, 'B-tim': 0.0019646365422396855, 'I-nat': 0.0019646365422396855, 'B-per': 0.0019646365422396855}"
DT,"{'I-art': 0.0005053057099545225, 'B-nat': 0.0005053057099545225, 'B-gpe': 0.0005053057099545225, 'B-art': 0.001010611419909045, 'I-tim': 0.0005053057099545225, 'B-org': 0.0005053057099545225, 'O': 0.9792824658918646, 'B-geo': 0.0005053057099545225, 'I-org': 0.0005053057099545225, 'I-geo': 0.0005053057099545225, 'I-per': 0.0005053057099545225, 'I-eve': 0.0005053057099545225, 'B-eve': 0.0005053057099545225, 'I-gpe': 0.0005053057099545225, 'B-tim': 0.001010611419909045, 'I-nat': 0.0005053057099545225, 'B-per': 0.0005053057099545225}"
