PRP$,"{'I-art': 0.002242152466367713, 'B-nat': 0.002242152466367713, 'B-gpe': 0.002242152466367713, 'B-art': 0.002242152466367713, 'I-tim': 0.0033632286995515697, 'B-org': 0.002242152466367713, 'O': 0.9080717488789237, 'B-geo': 0.002242152466367713, 'I-org': 0.002242152466367713, 'I-geo': 0.002242152466367713, 'I-per': 0.002242152466367713, 'I-eve': 0.002242152466367713, 'B-eve': 0.002242152466367713, 'I-gpe': 0.002242152466367713, 'B-tim': 0.0033632286995515697, 'I-nat': 0.002242152466367713, 'B-per': 0.002242152466367713}"
VBG,"{'I-art': 0.0010482180293501049, 'B-nat': 0.0010482180293501049, 'B-gpe': 0.0010482180293501049, 'B-art': 0.0010482180293501049, 'I-tim': 0.0010482180293501049, 'B-org': 0.0010482180293501049, 'O': 0.9580712788259959, 'B-geo': 0.0010482180293501049, 'I-org': 0.0010482180293501049, 'I-geo': 0.0010482180293501049, 'I-per': 0.0010482180293501049, 'I-eve': 0.0010482180293501049, 'B-eve': 0.0010482180293501049, 'I-gpe': 0.0010482180293501049, 'B-tim': 0.0010482180293501049, 'I-nat': 0.0010482180293501049, 'B-per': 0.0010482180293501049}"
VBD,"{'I-art': 0.0005307855626326964, 'B-nat': 0.0005307855626326964, 'B-gpe': 0.0005307855626326964, 'B-art': 0.0005307855626326964, 'I-tim': 0.0005307855626326964, 'B-org': 0.0005307855626326964, 'O': 0.9787685774946921, 'B-geo': 0.0005307855626326964, 'I-org': 0.0005307855626326964, 'I-geo': 0.0005307855626326964, 'I-per': 0.0005307855626326964, 'I-eve': 0.0005307855626326964, 'B-eve': 0.0005307855626326964, 'I-gpe': 0.0005307855626326964, 'B-tim': 0.0005307855626326964, 'I-nat': 0.0005307855626326964, 'B-per': 0.0005307855626326964}"
VBN,"{'I-art': 0.0006351222610352493, 'B-nat': 0.0006351222610352493, 'B-gpe': 0.0006351222610352493, 'B-art': 0.0006351222610352493, 'I-tim': 0.0006351222610352493, 'B-org': 0.0006351222610352493, 'O': 0.9742775484280723, 'B-geo': 0.0006351222610352493, 'I-org': 0.000952683391552874, 'I-geo': 0.0006351222610352493, 'I-per': 0.0006351222610352493, 'I-eve': 0.0006351222610352493, 'B-eve': 0.0006351222610352493, 'I-gpe': 0.0006351222610352493, 'B-tim': 0.0006351222610352493, 'I-nat': 0.0006351222610352493, 'B-per': 0.0006351222610352493}"
",","{'I-art': 0.0006363347120585428, 'B-nat': 0.0006363347120585428, 'B-gpe': 0.0006363347120585428, 'B-art': 0.0006363347120585428, 'I-tim': 0.005090677696468342, 'B-org': 0.0006363347120585428, 'O': 0.9685014317531021, 'B-geo': 0.0006363347120585428, 'I-org': 0.0019090041361756285, 'I-geo': 0.0006363347120585428, 'I-per': 0.0006363347120585428, 'I-eve': 0.0006363347120585428, 'B-eve': 0.0006363347120585428, 'I-gpe': 0.0006363347120585428, 'B-tim': 0.0009545020680878142, 'I-nat': 0.0006363347120585428, 'B-per': 0.0006363347120585428}"
VBP,"{'I-art': 0.001238390092879257, 'B-nat': 0.001238390092879257, 'B-gpe': 0.001238390092879257, 'B-art': 0.001238390092879257, 'I-tim': 0.001238390092879257, 'B-org': 0.001238390092879257, 'O': 0.9504643962848297, 'B-geo': 0.001238390092879257, 'I-org': 0.001238390092879257, 'I-geo': 0.001238390092879257, 'I-per': 0.001238390092879257, 'I-eve': 0.001238390092879257, 'B-eve': 0.001238390092879257, 'I-gpe': 0.001238390092879257, 'B-tim': 0.001238390092879257, 'I-nat': 0.001238390092879257, 'B-per': 0.001238390092879257}"
WDT,"{'I-art': 0.004608294930875576, 'B-nat': 0.004608294930875576, 'B-gpe': 0.004608294930875576, 'B-art': 0.004608294930875576, 'I-tim': 0.0069124423963133645, 'B-org': 0.004608294930875576, 'O': 0.8133640552995391, 'B-geo': 0.004608294930875576, 'I-org': 0.004608294930875576, 'I-geo': 0.004608294930875576, 'I-per': 0.004608294930875576, 'I-eve': 0.004608294930875576, 'B-eve': 0.004608294930875576, 'I-gpe': 0.004608294930875576, 'B-tim': 0.004608294930875576, 'I-nat': 0.004608294930875576, 'B-per': 0.004608294930875576}"
JJ,"{'I-art': 0.000268564522626561, 'B-nat': 0.000268564522626561, 'B-gpe': 0.16637572176715457, 'B-art': 0.0006714113065664026, 'I-tim': 0.0014771048744460858, 'B-org': 0.005371290452531221, 'O': 0.7909225191352223, 'B-geo': 0.008594064724049952, 'I-org': 0.0012085403518195246, 'I-geo': 0.000537129045253122, 'I-per': 0.000268564522626561, 'I-eve': 0.00040284678393984153, 'B-eve': 0.000268564522626561, 'I-gpe': 0.002148516181012488, 'B-tim': 0.012891097086074929, 'I-nat': 0.000268564522626561, 'B-per': 0.0016113871357593661}"
WP,"{'I-art': 0.006369426751592357, 'B-nat': 0.006369426751592357, 'B-gpe': 0.006369426751592357, 'B-art': 0.006369426751592357, 'I-tim': 0.006369426751592357, 'B-org': 0.006369426751592357, 'O': 0.7452229299363057, 'B-geo': 0.006369426751592357, 'I-org': 0.006369426751592357, 'I-geo': 0.006369426751592357, 'I-per': 0.006369426751592357, 'I-eve': 0.006369426751592357, 'B-eve': 0.006369426751592357, 'I-gpe': 0.006369426751592357, 'B-tim': 0.006369426751592357, 'I-nat': 0.006369426751592357, 'B-per': 0.006369426751592357}"
VBZ,"{'I-art': 0.0007968127490039841, 'B-nat': 0.0007968127490039841, 'B-gpe': 0.0007968127490039841, 'B-art': 0.0007968127490039841, 'I-tim': 0.0007968127490039841, 'B-org': 0.0007968127490039841, 'O': 0.9681274900398407, 'B-geo': 0.0007968127490039841, 'I-org': 0.0007968127490039841, 'I-geo': 0.0007968127490039841, 'I-per': 0.0007968127490039841, 'I-eve': 0.0007968127490039841, 'B-eve': 0.0007968127490039841, 'I-gpe': 0.0007968127490039841, 'B-tim': 0.0007968127490039841, 'I-nat': 0.0007968127490039841, 'B-per': 0.0007968127490039841}"
DT,"{'I-art': 0.000314070351758794, 'B-nat': 0.00020938023450586265, 'B-gpe': 0.00020938023450586265, 'B-art': 0.000314070351758794, 'I-tim': 0.0004187604690117253, 'B-org': 0.0021984924623115578, 'O': 0.9856574539363484, 'B-geo': 0.0019891122278056952, 'I-org': 0.0004187604690117253, 'I-geo': 0.00020938023450586265, 'I-per': 0.00020938023450586265, 'I-eve': 0.00020938023450586265, 'B-eve': 0.00020938023450586265, 'I-gpe': 0.00020938023450586265, 'B-tim': 0.0017797319932998325, 'I-nat': 0.00020938023450586265, 'B-per': 0.00020938023450586265}"
RP,"{'I-art': 0.006369426751592357, 'B-nat': 0.006369426751592357, 'B-gpe': 0.006369426751592357, 'B-art': 0.006369426751592357, 'I-tim': 0.006369426751592357, 'B-org': 0.006369426751592357, 'O': 0.7452229299363057, 'B-geo': 0.006369426751592357, 'I-org': 0.006369426751592357, 'I-geo': 0.006369426751592357, 'I-per': 0.006369426751592357, 'I-eve': 0.006369426751592357, 'B-eve': 0.006369426751592357, 'I-gpe': 0.006369426751592357, 'B-tim': 0.006369426751592357, 'I-nat': 0.006369426751592357, 'B-per': 0.006369426751592357}"
$,"{'I-art': 0.011904761904761904, 'B-nat': 0.011904761904761904, 'B-gpe': 0.011904761904761904, 'B-art': 0.011904761904761904, 'I-tim': 0.011904761904761904, 'B-org': 0.011904761904761904, 'O': 0.5238095238095238, 'B-geo': 0.011904761904761904, 'I-org': 0.011904761904761904, 'I-geo': 0.011904761904761904, 'I-per': 0.011904761904761904, 'I-eve': 0.011904761904761904, 'B-eve': 0.011904761904761904, 'I-gpe': 0.011904761904761904, 'B-tim': 0.011904761904761904, 'I-nat': 0.011904761904761904, 'B-per': 0.011904761904761904}"
NN,"{'I-art': 0.00021341680301629082, 'B-nat': 0.00014227786867752722, 'B-gpe': 0.0007825282777263997, 'B-art': 0.00028455573735505443, 'I-tim': 0.005548836878423561, 'B-org': 0.0017073344241303266, 'O': 0.9785160418296934, 'B-geo': 0.0008536672120651633, 'I-org': 0.0014939176211140356, 'I-geo': 0.0007825282777263997, 'I-per': 0.000355694671693818, 'I-eve': 0.00014227786867752722, 'B-eve': 0.00014227786867752722, 'I-gpe': 0.00021341680301629082, 'B-tim': 0.004481752863342107, 'I-nat': 0.00014227786867752722, 'B-per': 0.0007825282777263997}"
POS,"{'I-art': 0.0017793594306049821, 'B-nat': 0.0017793594306049821, 'B-gpe': 0.0017793594306049821, 'B-art': 0.0017793594306049821, 'I-tim': 0.0026690391459074734, 'B-org': 0.004448398576512456, 'O': 0.9065836298932385, 'B-geo': 0.0017793594306049821, 'I-org': 0.018683274021352312, 'I-geo': 0.0017793594306049821, 'I-per': 0.0017793594306049821, 'I-eve': 0.0017793594306049821, 'B-eve': 0.0017793594306049821, 'I-gpe': 0.0017793594306049821, 'B-tim': 0.0035587188612099642, 'I-nat': 0.0017793594306049821, 'B-per': 0.0017793594306049821}"
