mixedcase,"{'I-art': 0.08695652173913043, 'B-nat': 0.08695652173913043, 'B-gpe': 0.08695652173913043, 'B-art': 0.13043478260869565, 'I-tim': 0.08695652173913043, 'B-org': 0.08695652173913043, 'O': 0.08695652173913043, 'B-geo': 0.08695652173913043, 'I-org': 0.08695652173913043, 'I-geo': 0.08695652173913043, 'I-per': 0.08695652173913043, 'I-eve': 0.08695652173913043, 'B-eve': 0.08695652173913043, 'I-gpe': 0.08695652173913043, 'B-tim': 0.08695652173913043, 'I-nat': 0.08695652173913043, 'B-per': 0.08695652173913043}"
lowercase,"{'I-art': 0.0002094240837696335, 'B-nat': 0.00013961605584642233, 'B-gpe': 0.00013961605584642233, 'B-art': 0.0002094240837696335, 'I-tim': 0.0011169284467713787, 'B-org': 0.00027923211169284467, 'O': 0.9935776614310645, 'B-geo': 0.00034904013961605586, 'I-org': 0.0017452006980802793, 'I-geo': 0.00027923211169284467, 'I-per': 0.000418848167539267, 'I-eve': 0.00013961605584642233, 'B-eve': 0.00013961605584642233, 'I-gpe': 0.00027923211169284467, 'B-tim': 0.0015357766143106457, 'I-nat': 0.00013961605584642233, 'B-per': 0.00013961605584642233}"
camelcase,"{'I-art': 0.07142857142857142, 'B-nat': 0.07142857142857142, 'B-gpe': 0.07142857142857142, 'B-art': 0.07142857142857142, 'I-tim': 0.07142857142857142, 'B-org': 0.21428571428571427, 'O': 0.07142857142857142, 'B-geo': 0.07142857142857142, 'I-org': 0.07142857142857142, 'I-geo': 0.07142857142857142, 'I-per': 0.10714285714285714, 'I-eve': 0.07142857142857142, 'B-eve': 0.07142857142857142, 'I-gpe': 0.07142857142857142, 'B-tim': 0.07142857142857142, 'I-nat': 0.07142857142857142, 'B-per': 0.10714285714285714}"
uppercase,"{'I-art': 0.014705882352941176, 'B-nat': 0.03676470588235294, 'B-gpe': 0.03676470588235294, 'B-art': 0.014705882352941176, 'I-tim': 0.022058823529411766, 'B-org': 0.33088235294117646, 'O': 0.4411764705882353, 'B-geo': 0.014705882352941176, 'I-org': 0.022058823529411766, 'I-geo': 0.014705882352941176, 'I-per': 0.029411764705882353, 'I-eve': 0.029411764705882353, 'B-eve': 0.014705882352941176, 'I-gpe': 0.014705882352941176, 'B-tim': 0.014705882352941176, 'I-nat': 0.014705882352941176, 'B-per': 0.022058823529411766}"
number,"{'I-art': 0.009900990099009901, 'B-nat': 0.006600660066006601, 'B-gpe': 0.006600660066006601, 'B-art': 0.009900990099009901, 'I-tim': 0.0891089108910891, 'B-org': 0.006600660066006601, 'O': 0.6204620462046204, 'B-geo': 0.006600660066006601, 'I-org': 0.006600660066006601, 'I-geo': 0.006600660066006601, 'I-per': 0.006600660066006601, 'I-eve': 0.006600660066006601, 'B-eve': 0.013201320132013201, 'I-gpe': 0.006600660066006601, 'B-tim': 0.22442244224422442, 'I-nat': 0.006600660066006601, 'B-per': 0.006600660066006601}"
capitalized,"{'I-art': 0.006323110970597534, 'B-nat': 0.0015807777426493834, 'B-gpe': 0.14321846348403414, 'B-art': 0.010433133101485931, 'I-tim': 0.003161555485298767, 'B-org': 0.08567815365159659, 'O': 0.22194119506797344, 'B-geo': 0.15396775213404995, 'I-org': 0.07903888713246918, 'I-geo': 0.024660132785330382, 'I-per': 0.10780904204868795, 'I-eve': 0.004426177679418274, 'B-eve': 0.00569079987353778, 'I-gpe': 0.008220044261776794, 'B-tim': 0.07113499841922226, 'I-nat': 0.002213088839709137, 'B-per': 0.07429655390452103}"
abbreviation,"{'I-art': 0.015748031496062992, 'B-nat': 0.015748031496062992, 'B-gpe': 0.4094488188976378, 'B-art': 0.015748031496062992, 'I-tim': 0.015748031496062992, 'B-org': 0.2992125984251969, 'O': 0.015748031496062992, 'B-geo': 0.14960629921259844, 'I-org': 0.015748031496062992, 'I-geo': 0.023622047244094488, 'I-per': 0.015748031496062992, 'I-eve': 0.015748031496062992, 'B-eve': 0.015748031496062992, 'I-gpe': 0.015748031496062992, 'B-tim': 0.023622047244094488, 'I-nat': 0.015748031496062992, 'B-per': 0.015748031496062992}"
punct,"{'I-art': 0.0012004801920768306, 'B-nat': 0.0012004801920768306, 'B-gpe': 0.0012004801920768306, 'B-art': 0.0012004801920768306, 'I-tim': 0.0024009603841536613, 'B-org': 0.0012004801920768306, 'O': 0.9861944777911165, 'B-geo': 0.0012004801920768306, 'I-org': 0.001800720288115246, 'I-geo': 0.0012004801920768306, 'I-per': 0.0012004801920768306, 'I-eve': 0.0012004801920768306, 'B-eve': 0.0012004801920768306, 'I-gpe': 0.0012004801920768306, 'B-tim': 0.0012004801920768306, 'I-nat': 0.0012004801920768306, 'B-per': 0.0012004801920768306}"
other,"{'I-art': 0.008620689655172414, 'B-nat': 0.021551724137931036, 'B-gpe': 0.01293103448275862, 'B-art': 0.008620689655172414, 'I-tim': 0.008620689655172414, 'B-org': 0.04310344827586207, 'O': 0.8362068965517241, 'B-geo': 0.017241379310344827, 'I-org': 0.021551724137931036, 'I-geo': 0.008620689655172414, 'I-per': 0.008620689655172414, 'I-eve': 0.008620689655172414, 'B-eve': 0.008620689655172414, 'I-gpe': 0.008620689655172414, 'B-tim': 0.01293103448275862, 'I-nat': 0.008620689655172414, 'B-per': 0.008620689655172414}"
ending-dot,"{'I-art': 0.028985507246376812, 'B-nat': 0.028985507246376812, 'B-gpe': 0.028985507246376812, 'B-art': 0.028985507246376812, 'I-tim': 0.028985507246376812, 'B-org': 0.028985507246376812, 'O': 0.043478260869565216, 'B-geo': 0.028985507246376812, 'I-org': 0.028985507246376812, 'I-geo': 0.028985507246376812, 'I-per': 0.028985507246376812, 'I-eve': 0.028985507246376812, 'B-eve': 0.028985507246376812, 'I-gpe': 0.028985507246376812, 'B-tim': 0.028985507246376812, 'I-nat': 0.028985507246376812, 'B-per': 0.6956521739130435}"
contains-hyphen,"{'I-art': 0.023529411764705882, 'B-nat': 0.011764705882352941, 'B-gpe': 0.023529411764705882, 'B-art': 0.029411764705882353, 'I-tim': 0.011764705882352941, 'B-org': 0.11176470588235295, 'O': 0.6176470588235294, 'B-geo': 0.03529411764705882, 'I-org': 0.029411764705882353, 'I-geo': 0.011764705882352941, 'I-per': 0.06470588235294118, 'I-eve': 0.011764705882352941, 'B-eve': 0.011764705882352941, 'I-gpe': 0.011764705882352941, 'B-tim': 0.01764705882352941, 'I-nat': 0.011764705882352941, 'B-per': 0.03529411764705882}"
