mixedcase,"{'I-art': 0.07692307692307693, 'B-nat': 0.07692307692307693, 'B-gpe': 0.07692307692307693, 'B-art': 0.11538461538461539, 'I-tim': 0.07692307692307693, 'B-org': 0.07692307692307693, 'O': 0.15384615384615385, 'B-geo': 0.07692307692307693, 'I-org': 0.11538461538461539, 'I-geo': 0.07692307692307693, 'I-per': 0.07692307692307693, 'I-eve': 0.07692307692307693, 'B-eve': 0.07692307692307693, 'I-gpe': 0.07692307692307693, 'B-tim': 0.07692307692307693, 'I-nat': 0.07692307692307693, 'B-per': 0.07692307692307693}"
lowercase,"{'I-art': 7.084059449426899e-05, 'B-nat': 2.83362377977076e-05, 'B-gpe': 2.83362377977076e-05, 'B-art': 4.25043566965614e-05, 'I-tim': 0.0029328006120627366, 'B-org': 0.0001700174267862456, 'O': 0.9889630353777928, 'B-geo': 0.0009350958473243507, 'I-org': 0.0018276873379521402, 'I-geo': 0.0004533798047633216, 'I-per': 0.0002975304968759298, 'I-eve': 4.25043566965614e-05, 'B-eve': 2.83362377977076e-05, 'I-gpe': 5.66724755954152e-05, 'B-tim': 0.004037913886173332, 'I-nat': 2.83362377977076e-05, 'B-per': 0.0002266899023816608}"
camelcase,"{'I-art': 0.05128205128205128, 'B-nat': 0.05128205128205128, 'B-gpe': 0.05128205128205128, 'B-art': 0.05128205128205128, 'I-tim': 0.05128205128205128, 'B-org': 0.1794871794871795, 'O': 0.05128205128205128, 'B-geo': 0.05128205128205128, 'I-org': 0.05128205128205128, 'I-geo': 0.05128205128205128, 'I-per': 0.3333333333333333, 'I-eve': 0.05128205128205128, 'B-eve': 0.05128205128205128, 'I-gpe': 0.05128205128205128, 'B-tim': 0.05128205128205128, 'I-nat': 0.05128205128205128, 'B-per': 0.07692307692307693}"
ending-dot,"{'I-art': 0.0060790273556231, 'B-nat': 0.0060790273556231, 'B-gpe': 0.0060790273556231, 'B-art': 0.0060790273556231, 'I-tim': 0.0060790273556231, 'B-org': 0.0060790273556231, 'O': 0.00911854103343465, 'B-geo': 0.00911854103343465, 'I-org': 0.0060790273556231, 'I-geo': 0.00911854103343465, 'I-per': 0.015197568389057751, 'I-eve': 0.0060790273556231, 'B-eve': 0.0060790273556231, 'I-gpe': 0.0060790273556231, 'B-tim': 0.0060790273556231, 'I-nat': 0.0060790273556231, 'B-per': 0.9209726443768997}"
number,"{'I-art': 0.002018842530282638, 'B-nat': 0.0013458950201884253, 'B-gpe': 0.0013458950201884253, 'B-art': 0.002018842530282638, 'I-tim': 0.16285329744279947, 'B-org': 0.005383580080753701, 'O': 0.5746971736204576, 'B-geo': 0.004037685060565276, 'I-org': 0.0013458950201884253, 'I-geo': 0.002018842530282638, 'I-per': 0.0013458950201884253, 'I-eve': 0.0013458950201884253, 'B-eve': 0.0026917900403768506, 'I-gpe': 0.0013458950201884253, 'B-tim': 0.24158815612382234, 'I-nat': 0.0013458950201884253, 'B-per': 0.0013458950201884253}"
capitalized,"{'I-art': 0.002360541682196546, 'B-nat': 0.000993912287240651, 'B-gpe': 0.10392595353460057, 'B-art': 0.0039135296310100634, 'I-tim': 0.004472605292582929, 'B-org': 0.0833643930923096, 'O': 0.22978009690644802, 'B-geo': 0.18157535097527644, 'I-org': 0.079388743943347, 'I-geo': 0.04025344763324636, 'I-per': 0.10752888557584793, 'I-eve': 0.0026711392719592497, 'B-eve': 0.00273325878991179, 'I-gpe': 0.0029196173437694125, 'B-tim': 0.07193440178904212, 'I-nat': 0.0008075537333830289, 'B-per': 0.08212200273325879}"
abbreviation,"{'I-art': 0.0038910505836575876, 'B-nat': 0.0038910505836575876, 'B-gpe': 0.1264591439688716, 'B-art': 0.0038910505836575876, 'I-tim': 0.011673151750972763, 'B-org': 0.2801556420233463, 'O': 0.009727626459143969, 'B-geo': 0.5233463035019456, 'I-org': 0.0038910505836575876, 'I-geo': 0.005836575875486381, 'I-per': 0.005836575875486381, 'I-eve': 0.0038910505836575876, 'B-eve': 0.0038910505836575876, 'I-gpe': 0.0038910505836575876, 'B-tim': 0.007782101167315175, 'I-nat': 0.0038910505836575876, 'B-per': 0.021400778210116732}"
punct,"{'I-art': 0.00035444234404536864, 'B-nat': 0.00023629489603024575, 'B-gpe': 0.00023629489603024575, 'B-art': 0.00023629489603024575, 'I-tim': 0.003544423440453686, 'B-org': 0.0004725897920604915, 'O': 0.990430056710775, 'B-geo': 0.00023629489603024575, 'I-org': 0.002717391304347826, 'I-geo': 0.0007088846880907373, 'I-per': 0.0005907372400756144, 'I-eve': 0.00023629489603024575, 'B-eve': 0.00023629489603024575, 'I-gpe': 0.00023629489603024575, 'B-tim': 0.0004725897920604915, 'I-nat': 0.00023629489603024575, 'B-per': 0.00023629489603024575}"
other,"{'I-art': 0.001682085786375105, 'B-nat': 0.00672834314550042, 'B-gpe': 0.002523128679562658, 'B-art': 0.001682085786375105, 'I-tim': 0.002523128679562658, 'B-org': 0.021867115222876366, 'O': 0.9251471825063078, 'B-geo': 0.012615643397813289, 'I-org': 0.014297729184188394, 'I-geo': 0.001682085786375105, 'I-per': 0.002523128679562658, 'I-eve': 0.001682085786375105, 'B-eve': 0.001682085786375105, 'I-gpe': 0.005046257359125316, 'B-tim': 0.004205214465937763, 'I-nat': 0.001682085786375105, 'B-per': 0.002523128679562658}"
uppercase,"{'I-art': 0.0030120481927710845, 'B-nat': 0.016566265060240965, 'B-gpe': 0.007530120481927711, 'B-art': 0.010542168674698794, 'I-tim': 0.004518072289156626, 'B-org': 0.4171686746987952, 'O': 0.4382530120481928, 'B-geo': 0.022590361445783132, 'I-org': 0.016566265060240965, 'I-geo': 0.0030120481927710845, 'I-per': 0.0286144578313253, 'I-eve': 0.010542168674698794, 'B-eve': 0.015060240963855422, 'I-gpe': 0.0030120481927710845, 'B-tim': 0.0030120481927710845, 'I-nat': 0.0030120481927710845, 'B-per': 0.015060240963855422}"
