limited,"{'I-art': 0.000231000231000231, 'B-nat': 0.000231000231000231, 'B-gpe': 0.000231000231000231, 'B-art': 0.000231000231000231, 'I-tim': 0.000231000231000231, 'B-org': 0.000231000231000231, 'O': 0.000462000462000462, 'B-geo': 0.000231000231000231, 'I-org': 0.000231000231000231, 'I-geo': 0.000231000231000231, 'I-per': 0.000231000231000231, 'I-eve': 0.000231000231000231, 'B-eve': 0.000231000231000231, 'I-gpe': 0.000231000231000231, 'B-tim': 0.000231000231000231, 'I-nat': 0.000231000231000231, 'B-per': 0.000231000231000231}"
Autonomy,"{'I-art': 0.000231000231000231, 'B-nat': 0.000231000231000231, 'B-gpe': 0.000231000231000231, 'B-art': 0.000231000231000231, 'I-tim': 0.000231000231000231, 'B-org': 0.000231000231000231, 'O': 0.000462000462000462, 'B-geo': 0.000231000231000231, 'I-org': 0.000231000231000231, 'I-geo': 0.000231000231000231, 'I-per': 0.000231000231000231, 'I-eve': 0.000231000231000231, 'B-eve': 0.000231000231000231, 'I-gpe': 0.000231000231000231, 'B-tim': 0.000231000231000231, 'I-nat': 0.000231000231000231, 'B-per': 0.000231000231000231}"
pardon,"{'I-art': 0.000231000231000231, 'B-nat': 0.000231000231000231, 'B-gpe': 0.000231000231000231, 'B-art': 0.000231000231000231, 'I-tim': 0.000231000231000231, 'B-org': 0.000231000231000231, 'O': 0.000462000462000462, 'B-geo': 0.000231000231000231, 'I-org': 0.000231000231000231, 'I-geo': 0.000231000231000231, 'I-per': 0.000231000231000231, 'I-eve': 0.000231000231000231, 'B-eve': 0.000231000231000231, 'I-gpe': 0.000231000231000231, 'B-tim': 0.000231000231000231, 'I-nat': 0.000231000231000231, 'B-per': 0.000231000231000231}"
Frontier,"{'I-art': 0.000231000231000231, 'B-nat': 0.000231000231000231, 'B-gpe': 0.000231000231000231, 'B-art': 0.000231000231000231, 'I-tim': 0.000231000231000231, 'B-org': 0.000231000231000231, 'O': 0.000231000231000231, 'B-geo': 0.000231000231000231, 'I-org': 0.000231000231000231, 'I-geo': 0.000462000462000462, 'I-per': 0.000231000231000231, 'I-eve': 0.000231000231000231, 'B-eve': 0.000231000231000231, 'I-gpe': 0.000231000231000231, 'B-tim': 0.000231000231000231, 'I-nat': 0.000231000231000231, 'B-per': 0.000231000231000231}"
all,"{'I-art': 0.00023046784973496196, 'B-nat': 0.00023046784973496196, 'B-gpe': 0.00023046784973496196, 'B-art': 0.00023046784973496196, 'I-tim': 0.00023046784973496196, 'B-org': 0.00023046784973496196, 'O': 0.0027656141968195437, 'B-geo': 0.00023046784973496196, 'I-org': 0.00023046784973496196, 'I-geo': 0.00023046784973496196, 'I-per': 0.00023046784973496196, 'I-eve': 0.00023046784973496196, 'B-eve': 0.00023046784973496196, 'I-gpe': 0.00023046784973496196, 'B-tim': 0.00023046784973496196, 'I-nat': 0.00023046784973496196, 'B-per': 0.00023046784973496196}"
chaos,"{'I-art': 0.00023094688221709007, 'B-nat': 0.00023094688221709007, 'B-gpe': 0.00023094688221709007, 'B-art': 0.00023094688221709007, 'I-tim': 0.00023094688221709007, 'B-org': 0.00023094688221709007, 'O': 0.0006928406466512702, 'B-geo': 0.00023094688221709007, 'I-org': 0.00023094688221709007, 'I-geo': 0.00023094688221709007, 'I-per': 0.00023094688221709007, 'I-eve': 0.00023094688221709007, 'B-eve': 0.00023094688221709007, 'I-gpe': 0.00023094688221709007, 'B-tim': 0.00023094688221709007, 'I-nat': 0.00023094688221709007, 'B-per': 0.00023094688221709007}"
four,"{'I-art': 0.00023004370830457787, 'B-nat': 0.00023004370830457787, 'B-gpe': 0.00023004370830457787, 'B-art': 0.00023004370830457787, 'I-tim': 0.00023004370830457787, 'B-org': 0.00023004370830457787, 'O': 0.004600874166091558, 'B-geo': 0.00023004370830457787, 'I-org': 0.00023004370830457787, 'I-geo': 0.00023004370830457787, 'I-per': 0.00023004370830457787, 'I-eve': 0.00023004370830457787, 'B-eve': 0.00023004370830457787, 'I-gpe': 0.00023004370830457787, 'B-tim': 0.00023004370830457787, 'I-nat': 0.00023004370830457787, 'B-per': 0.00023004370830457787}"
facilities,"{'I-art': 0.00023094688221709007, 'B-nat': 0.00023094688221709007, 'B-gpe': 0.00023094688221709007, 'B-art': 0.00023094688221709007, 'I-tim': 0.00023094688221709007, 'B-org': 0.00023094688221709007, 'O': 0.0006928406466512702, 'B-geo': 0.00023094688221709007, 'I-org': 0.00023094688221709007, 'I-geo': 0.00023094688221709007, 'I-per': 0.00023094688221709007, 'I-eve': 0.00023094688221709007, 'B-eve': 0.00023094688221709007, 'I-gpe': 0.00023094688221709007, 'B-tim': 0.00023094688221709007, 'I-nat': 0.00023094688221709007, 'B-per': 0.00023094688221709007}"
protest,"{'I-art': 0.00023057412958266084, 'B-nat': 0.00023057412958266084, 'B-gpe': 0.00023057412958266084, 'B-art': 0.00023057412958266084, 'I-tim': 0.00023057412958266084, 'B-org': 0.00023057412958266084, 'O': 0.002305741295826608, 'B-geo': 0.00023057412958266084, 'I-org': 0.00023057412958266084, 'I-geo': 0.00023057412958266084, 'I-per': 0.00023057412958266084, 'I-eve': 0.00023057412958266084, 'B-eve': 0.00023057412958266084, 'I-gpe': 0.00023057412958266084, 'B-tim': 0.00023057412958266084, 'I-nat': 0.00023057412958266084, 'B-per': 0.00023057412958266084}"
Olympics,"{'I-art': 0.000231000231000231, 'B-nat': 0.000231000231000231, 'B-gpe': 0.000231000231000231, 'B-art': 0.000231000231000231, 'I-tim': 0.000231000231000231, 'B-org': 0.000231000231000231, 'O': 0.000231000231000231, 'B-geo': 0.000231000231000231, 'I-org': 0.000231000231000231, 'I-geo': 0.000231000231000231, 'I-per': 0.000231000231000231, 'I-eve': 0.000462000462000462, 'B-eve': 0.000231000231000231, 'I-gpe': 0.000231000231000231, 'B-tim': 0.000231000231000231, 'I-nat': 0.000231000231000231, 'B-per': 0.000231000231000231}"
controversial,"{'I-art': 0.00023089355806972986, 'B-nat': 0.00023089355806972986, 'B-gpe': 0.00023089355806972986, 'B-art': 0.00023089355806972986, 'I-tim': 0.00023089355806972986, 'B-org': 0.00023089355806972986, 'O': 0.0009235742322789194, 'B-geo': 0.00023089355806972986, 'I-org': 0.00023089355806972986, 'I-geo': 0.00023089355806972986, 'I-per': 0.00023089355806972986, 'I-eve': 0.00023089355806972986, 'B-eve': 0.00023089355806972986, 'I-gpe': 0.00023089355806972986, 'B-tim': 0.00023089355806972986, 'I-nat': 0.00023089355806972986, 'B-per': 0.00023089355806972986}"
aides,"{'I-art': 0.000231000231000231, 'B-nat': 0.000231000231000231, 'B-gpe': 0.000231000231000231, 'B-art': 0.000231000231000231, 'I-tim': 0.000231000231000231, 'B-org': 0.000231000231000231, 'O': 0.000462000462000462, 'B-geo': 0.000231000231000231, 'I-org': 0.000231000231000231, 'I-geo': 0.000231000231000231, 'I-per': 0.000231000231000231, 'I-eve': 0.000231000231000231, 'B-eve': 0.000231000231000231, 'I-gpe': 0.000231000231000231, 'B-tim': 0.000231000231000231, 'I-nat': 0.000231000231000231, 'B-per': 0.000231000231000231}"
Kyrgyz,"{'I-art': 0.000231000231000231, 'B-nat': 0.000231000231000231, 'B-gpe': 0.000462000462000462, 'B-art': 0.000231000231000231, 'I-tim': 0.000231000231000231, 'B-org': 0.000231000231000231, 'O': 0.000231000231000231, 'B-geo': 0.000231000231000231, 'I-org': 0.000231000231000231, 'I-geo': 0.000231000231000231, 'I-per': 0.000231000231000231, 'I-eve': 0.000231000231000231, 'B-eve': 0.000231000231000231, 'I-gpe': 0.000231000231000231, 'B-tim': 0.000231000231000231, 'I-nat': 0.000231000231000231, 'B-per': 0.000231000231000231}"
Machimura,"{'I-art': 0.000231000231000231, 'B-nat': 0.000231000231000231, 'B-gpe': 0.000231000231000231, 'B-art': 0.000231000231000231, 'I-tim': 0.000231000231000231, 'B-org': 0.000231000231000231, 'O': 0.000231000231000231, 'B-geo': 0.000231000231000231, 'I-org': 0.000231000231000231, 'I-geo': 0.000231000231000231, 'I-per': 0.000462000462000462, 'I-eve': 0.000231000231000231, 'B-eve': 0.000231000231000231, 'I-gpe': 0.000231000231000231, 'B-tim': 0.000231000231000231, 'I-nat': 0.000231000231000231, 'B-per': 0.000231000231000231}"
towns,"{'I-art': 0.00023084025854108956, 'B-nat': 0.00023084025854108956, 'B-gpe': 0.00023084025854108956, 'B-art': 0.00023084025854108956, 'I-tim': 0.00023084025854108956, 'B-org': 0.00023084025854108956, 'O': 0.0011542012927054479, 'B-geo': 0.00023084025854108956, 'I-org': 0.00023084025854108956, 'I-geo': 0.00023084025854108956, 'I-per': 0.00023084025854108956, 'I-eve': 0.00023084025854108956, 'B-eve': 0.00023084025854108956, 'I-gpe': 0.00023084025854108956, 'B-tim': 0.00023084025854108956, 'I-nat': 0.00023084025854108956, 'B-per': 0.00023084025854108956}"
whose,"{'I-art': 0.000231000231000231, 'B-nat': 0.000231000231000231, 'B-gpe': 0.000231000231000231, 'B-art': 0.000231000231000231, 'I-tim': 0.000231000231000231, 'B-org': 0.000231000231000231, 'O': 0.000462000462000462, 'B-geo': 0.000231000231000231, 'I-org': 0.000231000231000231, 'I-geo': 0.000231000231000231, 'I-per': 0.000231000231000231, 'I-eve': 0.000231000231000231, 'B-eve': 0.000231000231000231, 'I-gpe': 0.000231000231000231, 'B-tim': 0.000231000231000231, 'I-nat': 0.000231000231000231, 'B-per': 0.000231000231000231}"
feeding,"{'I-art': 0.000231000231000231, 'B-nat': 0.000231000231000231, 'B-gpe': 0.000231000231000231, 'B-art': 0.000231000231000231, 'I-tim': 0.000231000231000231, 'B-org': 0.000231000231000231, 'O': 0.000462000462000462, 'B-geo': 0.000231000231000231, 'I-org': 0.000231000231000231, 'I-geo': 0.000231000231000231, 'I-per': 0.000231000231000231, 'I-eve': 0.000231000231000231, 'B-eve': 0.000231000231000231, 'I-gpe': 0.000231000231000231, 'B-tim': 0.000231000231000231, 'I-nat': 0.000231000231000231, 'B-per': 0.000231000231000231}"
violate,"{'I-art': 0.00023094688221709007, 'B-nat': 0.00023094688221709007, 'B-gpe': 0.00023094688221709007, 'B-art': 0.00023094688221709007, 'I-tim': 0.00023094688221709007, 'B-org': 0.00023094688221709007, 'O': 0.0006928406466512702, 'B-geo': 0.00023094688221709007, 'I-org': 0.00023094688221709007, 'I-geo': 0.00023094688221709007, 'I-per': 0.00023094688221709007, 'I-eve': 0.00023094688221709007, 'B-eve': 0.00023094688221709007, 'I-gpe': 0.00023094688221709007, 'B-tim': 0.00023094688221709007, 'I-nat': 0.00023094688221709007, 'B-per': 0.00023094688221709007}"
eligible,"{'I-art': 0.000231000231000231, 'B-nat': 0.000231000231000231, 'B-gpe': 0.000231000231000231, 'B-art': 0.000231000231000231, 'I-tim': 0.000231000231000231, 'B-org': 0.000231000231000231, 'O': 0.000462000462000462, 'B-geo': 0.000231000231000231, 'I-org': 0.000231000231000231, 'I-geo': 0.000231000231000231, 'I-per': 0.000231000231000231, 'I-eve': 0.000231000231000231, 'B-eve': 0.000231000231000231, 'I-gpe': 0.000231000231000231, 'B-tim': 0.000231000231000231, 'I-nat': 0.000231000231000231, 'B-per': 0.000231000231000231}"
weapons-grade,"{'I-art': 0.000231000231000231, 'B-nat': 0.000231000231000231, 'B-gpe': 0.000231000231000231, 'B-art': 0.000231000231000231, 'I-tim': 0.000231000231000231, 'B-org': 0.000231000231000231, 'O': 0.000462000462000462, 'B-geo': 0.000231000231000231, 'I-org': 0.000231000231000231, 'I-geo': 0.000231000231000231, 'I-per': 0.000231000231000231, 'I-eve': 0.000231000231000231, 'B-eve': 0.000231000231000231, 'I-gpe': 0.000231000231000231, 'B-tim': 0.000231000231000231, 'I-nat': 0.000231000231000231, 'B-per': 0.000231000231000231}"
poorest,"{'I-art': 0.00023089355806972986, 'B-nat': 0.00023089355806972986, 'B-gpe': 0.00023089355806972986, 'B-art': 0.00023089355806972986, 'I-tim': 0.00023089355806972986, 'B-org': 0.00023089355806972986, 'O': 0.0009235742322789194, 'B-geo': 0.00023089355806972986, 'I-org': 0.00023089355806972986, 'I-geo': 0.00023089355806972986, 'I-per': 0.00023089355806972986, 'I-eve': 0.00023089355806972986, 'B-eve': 0.00023089355806972986, 'I-gpe': 0.00023089355806972986, 'B-tim': 0.00023089355806972986, 'I-nat': 0.00023089355806972986, 'B-per': 0.00023089355806972986}"
Watch,"{'I-art': 0.000231000231000231, 'B-nat': 0.000231000231000231, 'B-gpe': 0.000231000231000231, 'B-art': 0.000231000231000231, 'I-tim': 0.000231000231000231, 'B-org': 0.000231000231000231, 'O': 0.000231000231000231, 'B-geo': 0.000231000231000231, 'I-org': 0.000462000462000462, 'I-geo': 0.000231000231000231, 'I-per': 0.000231000231000231, 'I-eve': 0.000231000231000231, 'B-eve': 0.000231000231000231, 'I-gpe': 0.000231000231000231, 'B-tim': 0.000231000231000231, 'I-nat': 0.000231000231000231, 'B-per': 0.000231000231000231}"
Western,"{'I-art': 0.0002306805074971165, 'B-nat': 0.0002306805074971165, 'B-gpe': 0.0002306805074971165, 'B-art': 0.0002306805074971165, 'I-tim': 0.0002306805074971165, 'B-org': 0.000461361014994233, 'O': 0.001384083044982699, 'B-geo': 0.000461361014994233, 'I-org': 0.0002306805074971165, 'I-geo': 0.0002306805074971165, 'I-per': 0.0002306805074971165, 'I-eve': 0.0002306805074971165, 'B-eve': 0.0002306805074971165, 'I-gpe': 0.0002306805074971165, 'B-tim': 0.0002306805074971165, 'I-nat': 0.0002306805074971165, 'B-per': 0.0002306805074971165}"
action,"{'I-art': 0.00023073373327180433, 'B-nat': 0.00023073373327180433, 'B-gpe': 0.00023073373327180433, 'B-art': 0.00023073373327180433, 'I-tim': 0.00023073373327180433, 'B-org': 0.00023073373327180433, 'O': 0.0016151361329026304, 'B-geo': 0.00023073373327180433, 'I-org': 0.00023073373327180433, 'I-geo': 0.00023073373327180433, 'I-per': 0.00023073373327180433, 'I-eve': 0.00023073373327180433, 'B-eve': 0.00023073373327180433, 'I-gpe': 0.00023073373327180433, 'B-tim': 0.00023073373327180433, 'I-nat': 0.00023073373327180433, 'B-per': 0.00023073373327180433}"
under,"{'I-art': 0.00023014959723820482, 'B-nat': 0.00023014959723820482, 'B-gpe': 0.00023014959723820482, 'B-art': 0.00023014959723820482, 'I-tim': 0.00023014959723820482, 'B-org': 0.00023014959723820482, 'O': 0.004142692750287687, 'B-geo': 0.00023014959723820482, 'I-org': 0.00023014959723820482, 'I-geo': 0.00023014959723820482, 'I-per': 0.00023014959723820482, 'I-eve': 0.00023014959723820482, 'B-eve': 0.00023014959723820482, 'I-gpe': 0.00023014959723820482, 'B-tim': 0.00023014959723820482, 'I-nat': 0.00023014959723820482, 'B-per': 0.00023014959723820482}"
teaching,"{'I-art': 0.000231000231000231, 'B-nat': 0.000231000231000231, 'B-gpe': 0.000231000231000231, 'B-art': 0.000231000231000231, 'I-tim': 0.000231000231000231, 'B-org': 0.000231000231000231, 'O': 0.000462000462000462, 'B-geo': 0.000231000231000231, 'I-org': 0.000231000231000231, 'I-geo': 0.000231000231000231, 'I-per': 0.000231000231000231, 'I-eve': 0.000231000231000231, 'B-eve': 0.000231000231000231, 'I-gpe': 0.000231000231000231, 'B-tim': 0.000231000231000231, 'I-nat': 0.000231000231000231, 'B-per': 0.000231000231000231}"
Secretary,"{'I-art': 0.00023089355806972986, 'B-nat': 0.00023089355806972986, 'B-gpe': 0.00023089355806972986, 'B-art': 0.00023089355806972986, 'I-tim': 0.00023089355806972986, 'B-org': 0.00023089355806972986, 'O': 0.0004617871161394597, 'B-geo': 0.00023089355806972986, 'I-org': 0.00023089355806972986, 'I-geo': 0.00023089355806972986, 'I-per': 0.0004617871161394597, 'I-eve': 0.00023089355806972986, 'B-eve': 0.00023089355806972986, 'I-gpe': 0.00023089355806972986, 'B-tim': 0.00023089355806972986, 'I-nat': 0.00023089355806972986, 'B-per': 0.0004617871161394597}"
worth,"{'I-art': 0.000231000231000231, 'B-nat': 0.000231000231000231, 'B-gpe': 0.000231000231000231, 'B-art': 0.000231000231000231, 'I-tim': 0.000231000231000231, 'B-org': 0.000231000231000231, 'O': 0.000462000462000462, 'B-geo': 0.000231000231000231, 'I-org': 0.000231000231000231, 'I-geo': 0.000231000231000231, 'I-per': 0.000231000231000231, 'I-eve': 0.000231000231000231, 'B-eve': 0.000231000231000231, 'I-gpe': 0.000231000231000231, 'B-tim': 0.000231000231000231, 'I-nat': 0.000231000231000231, 'B-per': 0.000231000231000231}"
carried,"{'I-art': 0.00023078698361412417, 'B-nat': 0.00023078698361412417, 'B-gpe': 0.00023078698361412417, 'B-art': 0.00023078698361412417, 'I-tim': 0.00023078698361412417, 'B-org': 0.00023078698361412417, 'O': 0.0013847219016847449, 'B-geo': 0.00023078698361412417, 'I-org': 0.00023078698361412417, 'I-geo': 0.00023078698361412417, 'I-per': 0.00023078698361412417, 'I-eve': 0.00023078698361412417, 'B-eve': 0.00023078698361412417, 'I-gpe': 0.00023078698361412417, 'B-tim': 0.00023078698361412417, 'I-nat': 0.00023078698361412417, 'B-per': 0.00023078698361412417}"
updated,"{'I-art': 0.000231000231000231, 'B-nat': 0.000231000231000231, 'B-gpe': 0.000231000231000231, 'B-art': 0.000231000231000231, 'I-tim': 0.000231000231000231, 'B-org': 0.000231000231000231, 'O': 0.000462000462000462, 'B-geo': 0.000231000231000231, 'I-org': 0.000231000231000231, 'I-geo': 0.000231000231000231, 'I-per': 0.000231000231000231, 'I-eve': 0.000231000231000231, 'B-eve': 0.000231000231000231, 'I-gpe': 0.000231000231000231, 'B-tim': 0.000231000231000231, 'I-nat': 0.000231000231000231, 'B-per': 0.000231000231000231}"
